,Country,Province,U5,U15,O15,Cases_2021,Deaths_2021,Cases_2022,Deaths_2022,Cases_2023,Deaths_2023,Total_Cases,Total_Deaths,Endemic,Historical,birth_per_1000,percHR
1,DRC,Bas-Uele,202666.34,337151.21,755316.07,261,4,91,1,163,8,515,13,0,1,40.08,0.05
2,DRC,Equateur,457782.48,703390.47,1357968.83,655,31,355,9,6825,322,7835,362,1,1,40.08,0.05
3,DRC,Haut-Katanga,1341342.99,1884768.77,3116022.44,0,0,7,0,1,0,8,0,0,0,40.08,0.1
4,DRC,Haut-Lomami,895541.83,1258351.93,2080386.8,0,0,0,0,7,0,7,0,0,0,40.08,0.05
5,DRC,Haut-Uele,292966.81,487381.51,1091875.09,10,0,14,1,0,0,24,1,0,1,40.08,0.05
6,DRC,Ituri,899920.41,1497087.11,3353911.59,0,0,2,0,2,0,4,0,0,1,40.08,0.1
7,DRC,Kasai,847466.09,1353523.26,2430085.2,65,0,228,28,326,10,619,38,1,1,40.08,0.05
8,DRC,Kasai-Central,903202.58,1442536.54,2589903.95,19,0,19,0,68,0,106,0,1,1,40.08,0.05
9,DRC,Kasai-Oriental,1138486.87,1637734.98,2825452.96,0,0,7,0,0,0,7,0,1,1,40.08,0.05
10,DRC,Kinshasa,2173849.59,2977231.52,5238608.39,1,0,14,1,37,0,52,1,0,1,40.08,0.1
11,DRC,Kongo-Central,860665.59,1251337.93,2110501.11,0,0,0,0,3,0,3,0,0,1,40.08,0.05
12,DRC,Kwango,501275.25,740410.39,1340868.16,3,0,555,6,143,1,701,7,0,1,40.08,0.05
13,DRC,Kwilu,1003243.93,1481851.87,2683615.69,18,2,55,4,48,1,121,7,0,1,40.08,0.05
14,DRC,Lomami,839569.3,1207726.06,2083594.52,0,0,1,0,11,0,12,0,0,0,40.08,0.05
15,DRC,Lualaba,515353.09,724141.87,1197188.7,0,0,0,0,0,0,0,0,0,1,40.08,0.05
16,DRC,Mai-Ndombe,385074.73,568777.78,1030046.72,341,3,177,5,1982,132,2500,140,1,1,40.08,0.05
17,DRC,Maniema,513801.53,715518.91,1497361.42,99,3,349,12,219,1,667,16,1,1,40.08,0.05
18,DRC,Mongala,471411.35,724333.63,1398396.66,248,2,115,6,184,5,547,13,1,1,40.08,0.05
19,DRC,Nord-Kivu,2119950.48,2983583.42,5475587.3,0,0,8,0,1,0,9,0,0,1,40.08,0.1
20,DRC,Nord-Ubangi,295736.91,454401.32,877265.3,17,0,34,0,71,6,122,6,0,1,40.08,0.05
21,DRC,Sankuru,430619.39,619448.58,1068698.79,582,7,2271,42,1748,38,4601,87,1,1,40.08,0.05
22,DRC,Sud-Kivu,1457607.48,2019413.15,3866790.76,0,0,2,0,116,0,118,0,0,1,40.08,0.1
23,DRC,Sud-Ubangi,536911.38,824973.29,1592691.03,231,6,161,6,430,11,822,23,1,1,40.08,0.05
24,DRC,Tanganyika,694202.14,975450.1,1612677.73,0,0,3,0,1,0,4,0,0,0,40.08,0.05
25,DRC,Tshopo,506598.28,842767.46,1888042.71,125,10,907,74,1398,71,2430,155,1,1,40.08,0.05
26,DRC,Tshuapa,396240.52,608832.64,1175418.54,318,13,302,18,969,69,1589,100,1,1,40.08,0.05
27,Angola,,6219256.5,10161008.5,20369639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2,0.1
28,Burundi,,2167234.08,4042949.92,7479266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.109,0.1
29,Kenya,,7036696.063,13686171.94,34616134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.54,0.1
30,Rwanda,,1878433.44,3386778.56,8689258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.474,0.1
31,Uganda,,7938349.917,13440417.08,27277834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.215,0.1
32,Zambia,,3151673,5543092,12029201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.127,0.1
33,Zimbabwe,,2306985.075,4445579.925,9588259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.086,0.1
34,CAR,,940906.596,1592355.404,2619158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.344,0.1
35,Sudan,,7645811.575,12696298.43,29700681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.027,0.1
36,SouthSudan,,1483635.5,3092665.5,6907074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.857,0.1