province,health_zone,case_total,death_total,cfr,case_recent,death_recent,last_reported
Sud-Ubangi,Budjala,3112,23,0.007390745501285347,889,2,2025-02-09
Tshopo,Yalimbongo,1402,108,0.07703281027104136,829,56,2025-02-09
Nord Kivu,Nyiragongo,973,0,0,662,0,2025-02-09
Sud-Kivu,Miti-Murrhesa,5550,10,0.0018018018018018018,649,0,2025-02-09
Nord Kivu,Karisimbi,950,0,0,609,0,2025-02-09
Bas Uele,Monga,2212,24,0.0108499095840868,418,0,2025-02-09
Tshuapa,Ikela,1177,4,0.0033984706881903144,400,0,2025-02-09
Tshuapa,Lingomo,1406,77,0.05476529160739687,376,6,2025-02-09
Sud-Ubangi,Zongo,580,0,0,314,0,2025-02-09
Sud-Kivu,Lulingu,342,1,0.0029239766081871343,280,0,2025-02-09
Sud-Kivu,Nyangezi,2207,2,9.062075215224287e-4,278,0,2025-02-09
Sud-Kivu,Uvira,1685,6,0.0035608308605341245,264,1,2025-02-09
Sankuru,Dikungu,1066,53,0.04971857410881801,212,0,2025-02-09
Sankuru,Tshumbe,507,2,0.0039447731755424065,197,0,2025-02-09
Tshuapa,Yalifafu,354,41,0.11581920903954802,197,36,2025-02-09
Sud-Kivu,Walungu,554,0,0,195,0,2025-02-09
Nord Kivu,Goma,416,1,0.002403846153846154,193,0,2025-02-09
Sud-Kivu,Nyantende,1200,0,0,193,0,2025-02-09
Tshuapa,Djolu,743,12,0.016150740242261104,193,1,2025-02-09
Sud-Kivu,Ruzizi,482,0,0,191,0,2025-02-09
Sud-Ubangi,Bangabola,321,1,0.003115264797507788,191,0,2025-02-09
Kasai,Dekese,477,29,0.06079664570230608,184,6,2025-02-09
Sankuru,Wembo-Nyama,769,0,0,183,0,2025-02-09
Sud-Kivu,Kitutu,762,1,0.0013123359580052493,180,1,2025-02-09
Sud-Kivu,Kalehe,774,0,0,173,0,2025-02-09
Lomami,Ludimbi-Lukula,241,0,0,169,0,2025-02-09
Sud-Kivu,Kaziba,308,0,0,165,0,2025-02-09
Sud-Kivu,Minova,747,2,0.002677376171352075,165,1,2025-02-09
Sud-Kivu,Kimbi Lulenge,1222,6,0.004909983633387889,162,0,2025-02-09
Sud-Kivu,Kabare,204,0,0,157,0,2025-02-09
Sankuru,Lodja,534,4,0.00749063670411985,154,0,2025-02-09
Kinshasa,Lingwala,478,5,0.010460251046025104,148,1,2025-02-09
Nord Kivu,Mutwanga,156,0,0,148,0,2025-02-09
Kasai,Mushenge,438,15,0.03424657534246575,145,8,2025-02-09
Sankuru,Katako-Kombe,781,12,0.015364916773367477,138,0,2025-02-09
Sankuru,Bena-Dibele,635,0,0,130,0,2025-02-09
Sud-Ubangi,Libenge,311,1,0.003215434083601286,129,0,2025-02-09
Sud-Kivu,Kadutu,653,1,0.0015313935681470138,124,0,2025-02-09
Bas Uele,Ango,188,3,0.015957446808510637,122,3,2025-02-09
Sankuru,Lomela,686,47,0.06851311953352769,121,0,2025-02-09
Nord Kivu,Katoyi,118,0,0,116,0,2025-01-19
Sud-Kivu,Mubumbano,194,0,0,116,0,2025-02-09
Sud-Kivu,Kalonge,197,1,0.005076142131979695,111,0,2025-02-09
Sud-Kivu,Mwana,226,0,0,111,0,2025-02-09
Sankuru,Lusambo,416,5,0.01201923076923077,107,0,2025-02-09
Equateur,Iboko,890,43,0.048314606741573035,104,1,2025-02-09
Kinshasa,Limete,445,0,0,104,0,2025-02-09
Kinshasa,Kokolo,273,2,0.007326007326007326,102,1,2025-02-09
Sud-Kivu,Shabunda Centre,248,0,0,100,0,2025-02-09
Nord Ubangi,Businga,243,3,0.012345679012345678,99,0,2025-02-09
Equateur,Lotumbe,2759,222,0.08046393620877129,98,1,2025-02-09
Tshuapa,Monkoto,1139,37,0.0324846356453029,96,0,2025-02-09
Equateur,Bolomba,1084,25,0.023062730627306273,94,1,2025-02-09
Sud-Kivu,Kamituga,1243,6,0.004827031375703942,93,0,2025-02-09
Sud-Ubangi,Mbaya,461,0,0,93,0,2025-02-09
Sankuru,Kole,474,5,0.010548523206751054,91,0,2025-02-09
Sankuru,Ototo,614,12,0.019543973941368076,90,0,2025-02-09
Sud-Kivu,Nundu,231,0,0,89,0,2025-02-09
Tshuapa,Bokungu,1110,38,0.03423423423423423,88,0,2025-02-09
Tshopo,Yahuma,441,15,0.034013605442176874,86,2,2025-02-09
Sankuru,Tshudi-Loto,608,12,0.019736842105263157,85,1,2025-02-09
Tshopo,Basoko,222,5,0.02252252252252252,85,3,2025-02-09
Sud-Ubangi,Bulu,582,3,0.005154639175257732,83,0,2025-02-09
Sud-Ubangi,Gemena,437,3,0.006864988558352402,81,0,2025-02-09
Tshopo,Yakusu,491,7,0.014256619144602852,81,1,2025-02-09
Sud-Kivu,Fizi,376,1,0.0026595744680851063,79,0,2025-02-09
Maniema,Kibombo,161,1,0.006211180124223602,76,1,2025-02-09
Tshopo,Yabaondo,190,9,0.04736842105263158,72,2,2025-02-09
Kasai,Kanzala,291,1,0.003436426116838488,71,0,2025-02-09
Sud-Kivu,Bagira-Kasha,194,0,0,71,0,2025-02-02
Tshuapa,Befale,331,41,0.12386706948640483,71,4,2025-02-09
Kinshasa,Bumbu,134,0,0,68,0,2025-02-09
Sud-Kivu,Katana,449,1,0.0022271714922048997,66,0,2025-02-09
Kinshasa,Nsele,165,1,0.006060606060606061,65,0,2025-02-09
Equateur,Djombo,435,14,0.03218390804597701,64,0,2025-02-09
Maniema,Kunda,191,1,0.005235602094240838,62,0,2025-02-09
Sud-Kivu,Ibanda,452,0,0,62,0,2025-02-09
Bas Uele,Likati,143,16,0.11188811188811189,61,12,2025-02-02
Tshuapa,Busanga,442,2,0.004524886877828055,61,0,2025-02-09
Nord Kivu,Mweso,60,1,0.016666666666666666,60,1,2025-02-09
Sud-Ubangi,Ndage,307,2,0.006514657980456026,59,0,2025-02-09
Tshopo,Makiso-Kisangani,277,1,0.0036101083032490976,58,1,2025-02-09
Mongala,Lisala,379,12,0.0316622691292876,54,0,2025-02-09
Tshuapa,Mompono,255,7,0.027450980392156862,53,3,2025-02-02
Sankuru,Minga,128,1,0.0078125,51,0,2025-02-09
Sankuru,Omendjadi,241,0,0,51,0,2025-02-09
Tshuapa,Boende,214,10,0.04672897196261682,49,3,2025-02-09
Sud-Ubangi,Bominenge,152,4,0.02631578947368421,47,0,2025-02-09
Nord Kivu,Beni,51,0,0,45,0,2025-02-09
Bas Uele,Aketi,927,73,0.07874865156418555,43,2,2025-02-09
Kasai,Kalonda-Ouest,186,0,0,40,0,2025-02-09
Maniema,Tunda,263,1,0.0038022813688212928,40,0,2025-02-09
Sankuru,Djalo-Ndjeka,151,0,0,40,0,2025-02-09
Kinshasa,Biyela,187,0,0,39,0,2025-02-09
Kinshasa,Kalamu Ii,93,0,0,39,0,2025-02-09
Tanganyika,Kalemie,74,0,0,39,0,2025-02-09
Maniema,Kindu,84,0,0,37,0,2025-02-09
Sud-Ubangi,Tandala,88,0,0,37,0,2025-02-09
Maindombe,Bosobe,118,0,0,36,0,2025-02-09
Sud-Kivu,Bunyakiri,76,0,0,34,0,2025-02-09
Sud-Kivu,Mwenga,154,0,0,33,0,2025-02-09
Tshopo,Yaleko,109,16,0.14678899082568808,33,2,2025-02-09
Tanganyika,Nyemba,56,0,0,32,0,2025-02-09
Nord Ubangi,Mobayi,96,1,0.010416666666666666,31,0,2025-02-09
Tshopo,Basali,206,6,0.02912621359223301,31,1,2025-02-02
Tshopo,Opala,184,20,0.10869565217391304,31,0,2025-02-09
Equateur,Lilanga Bobangi,224,3,0.013392857142857142,30,0,2025-01-26
Maindombe,Bolobo,32,0,0,29,0,2025-02-09
Equateur,Mbandaka,506,13,0.025691699604743084,28,0,2025-02-09
Mongala,Bumba,109,1,0.009174311926605505,28,0,2025-02-09
Sankuru,Pania Mutombo,135,0,0,28,0,2025-02-09
Kinshasa,Binza-Ozone,54,0,0,27,0,2025-02-09
Kinshasa,Ndjili,66,0,0,27,0,2025-02-09
Mongala,Bosondjo,116,3,0.02586206896551724,27,2,2025-02-09
Sud-Ubangi,Kungu,89,0,0,27,0,2025-01-26
Nord Ubangi,Loko,52,0,0,25,0,2025-02-09
Tanganyika,Moba,81,1,0.012345679012345678,25,1,2025-02-09
Tshopo,Kabondo,65,3,0.046153846153846156,25,1,2025-02-09
Kasai,Luebo,177,4,0.022598870056497175,24,0,2025-02-02
Tshopo,Bengamisa,81,2,0.024691358024691357,24,0,2025-02-09
Kasai,Bulape,31,0,0,23,0,2025-02-09
Sud-Ubangi,Bwamanda,75,2,0.02666666666666667,23,1,2025-02-09
Kinshasa,Kasa-Vubu,61,0,0,22,0,2025-02-09
Kinshasa,Kalamu I,46,0,0,21,0,2025-02-09
Bas Uele,Bili,66,2,0.030303030303030304,20,0,2025-02-09
Equateur,Bolenge,277,2,0.007220216606498195,20,0,2025-02-09
Equateur,Ntondo,169,13,0.07692307692307693,20,0,2025-02-09
Equateur,Basankusu,472,5,0.01059322033898305,19,1,2025-02-09
Equateur,Lolanga Mampoko,127,1,0.007874015748031496,19,0,2025-02-09
Mongala,Pimu,308,23,0.07467532467532467,19,2,2025-02-09
Nord Kivu,Alimbongo,20,0,0,19,0,2025-01-26
Equateur,Ingende,137,7,0.051094890510948905,18,0,2025-02-09
Mongala,Lolo,168,1,0.005952380952380952,18,0,2025-02-09
Sankuru,Vanga-Kete,214,4,0.018691588785046728,18,0,2025-02-09
Tshopo,Banalia,32,1,0.03125,18,1,2025-02-09
Kinshasa,Kimbanseke,40,0,0,17,0,2025-02-09
Kinshasa,Police,58,0,0,16,0,2025-02-09
Maindombe,Oshwe,273,25,0.09157509157509157,16,1,2025-02-02
Bas Uele,Bondo,145,14,0.09655172413793103,15,1,2025-02-09
Sud-Ubangi,Bogose Nubea,84,5,0.05952380952380952,15,0,2025-02-09
Equateur,Wangata,297,16,0.05387205387205387,14,0,2025-02-09
Kasai,Mweka,55,1,0.01818181818181818,14,0,2025-01-19
Kinshasa,Ngaba,36,0,0,14,0,2025-02-09
Maindombe,Mimia,75,3,0.04,14,1,2025-02-02
Nord Kivu,Kyondo,18,1,0.05555555555555555,14,0,2025-02-09
Sud-Kivu,Idjwi,20,0,0,14,0,2025-02-09
Tshopo,Tshopo,56,0,0,14,0,2025-02-09
Tshuapa,Mondombe,95,0,0,14,0,2025-02-09
Kinshasa,Lemba,42,0,0,13,0,2025-02-09
Mongala,Bosomodanda,59,0,0,13,0,2025-02-09
Kinshasa,Ngiri-Ngiri,37,0,0,12,0,2025-02-02
Tshopo,Mangobo,57,0,0,12,0,2025-02-02
Ituri,Biringi,11,0,0,11,0,2025-02-02
Kinshasa,Binza-Meteo,44,0,0,11,0,2025-02-02
Kwango,Kajiji,17,0,0,11,0,2025-01-26
Sud-Ubangi,Mawuya,34,0,0,11,0,2025-02-02
Kinshasa,Masina I,48,0,0,10,0,2025-02-09
Mongala,Binga,112,1,0.008928571428571428,10,0,2025-02-09
Mongala,Bosomanzi,377,7,0.01856763925729443,10,0,2025-02-02
Bas Uele,Buta,59,4,0.06779661016949153,9,0,2025-02-02
Tshopo,Yahisuli,35,2,0.05714285714285714,9,1,2025-02-02
Equateur,Monieka,177,29,0.1638418079096045,8,1,2025-01-26
Haut Lomami,Mulongo,43,4,0.09302325581395349,8,1,2025-02-09
Haut Uele,Aba,16,0,0,8,0,2025-01-26
Kinshasa,Kisenso,25,1,0.04,8,1,2025-02-09
Kinshasa,Mont-Ngafula Ii,42,0,0,8,0,2025-02-09
Equateur,Makanza,20,0,0,7,0,2025-02-02
Kasai,Kitangwa,66,3,0.045454545454545456,7,0,2025-01-19
Kongo Central,Muanda,34,0,0,7,0,2025-02-09
Maindombe,Bokoro,28,3,0.10714285714285714,7,0,2025-02-09
Kasai,Tshikapa,176,0,0,6,0,2025-02-02
Kinshasa,Kikimi,38,1,0.02631578947368421,6,0,2025-02-09
Kinshasa,Kinshasa,30,0,0,6,0,2025-02-09
Kinshasa,Selembao,23,0,0,6,0,2025-01-26
Maindombe,Kiri,59,0,0,6,0,2025-02-09
Maindombe,Ntand Embelo,33,3,0.09090909090909091,6,1,2025-02-09
Sud-Ubangi,Boto,159,2,0.012578616352201259,6,0,2025-01-26
Bas Uele,Poko,21,0,0,5,0,2025-02-09
Lomami,Kanda Kanda,7,0,0,5,0,2025-01-12
Maniema,Kasongo,18,0,0,5,0,2025-02-09
Mongala,Yambuku,33,0,0,5,0,2025-02-02
Sud-Kivu,Hauts Plateaux Uvira,8,0,0,5,0,2025-01-12
Tshuapa,Wema,45,4,0.08888888888888889,5,1,2025-01-19
Equateur,Lukolela,220,2,0.00909090909090909,4,0,2025-02-02
Ituri,Adi,4,0,0,4,0,2025-01-19
Ituri,Ariwara,17,0,0,4,0,2025-01-26
Kinshasa,Bandalungwa,22,0,0,4,0,2025-02-09
Lomami,Mwene Ditu,15,0,0,4,0,2025-02-09
Maindombe,Banjow Moke,28,2,0.07142857142857142,4,1,2025-01-26
Maniema,Kailo,36,0,0,4,0,2025-02-02
Maniema,Lubutu,21,1,0.047619047619047616,4,0,2025-01-19
Maniema,Punia,19,0,0,4,0,2025-02-02
Nord Ubangi,Wasolo,17,0,0,4,0,2025-02-09
Sud-Kivu,Kalole,57,1,0.017543859649122806,4,0,2025-02-09
Tanganyika,Mbulula,5,0,0,4,0,2025-02-09
Equateur,Bikoro,1079,11,0.010194624652455977,3,0,2025-02-09
Haut Katanga,Kipushi,26,0,0,3,0,2025-01-26
Kasai,Mikope,44,0,0,3,0,2025-01-19
Kinshasa,Maluku I,28,0,0,3,0,2025-02-09
Kinshasa,Matete,9,0,0,3,0,2025-02-09
