,Angola,Burundi,Kenya,Rwanda,Zambia,Zimbabwe,Central African Republic,Sudan,South Sudan,Uganda,Bas-Uele,Equateur,Haut-Katanga,Haut-Lomami,Haut-Uele,Ituri,Kasai,Kasai-Central,Kasai-Oriental,Kinshasa,Kongo-Central,Kwango,Kwilu,Lomami,Lualaba,Mai-Ndombe,Maniema,Mongala,Nord-Kivu,Nord-Ubangi,Sankuru,Sud-Kivu,Sud-Ubangi,Tanganyika,Tshopo,Tshuapa
Angola,0,1683355.74,2659329.541,1781635.947,1123522.806,1517610.892,2123778.83,3434806.192,2596865.659,2229685.497,1959876.063,1400164.46,1141244.619,973856.4402,2125235.198,2045920.932,905298.93,865334.5002,946406.0988,890958.8077,854230.1215,651245.0947,843014.1301,1034665.102,744593.3756,1071864.279,1415837.069,1659025.825,1790396.575,1838875.057,1185002.936,1552403.386,1722183.726,1331163.33,1653435.419,1373380.924
Burundi,1683355.74,0,986911.3268,152233.384,1145643.25,1739463.751,1523055.801,2158861.127,1187073.891,587532.3581,940653.6863,1285068.688,821848.6703,733179.285,761054.2427,571752.3554,990806.9193,880315.4203,771658.5717,1557785.04,1741739.268,1376699.79,1257449.642,658622.5474,979140.589,1265148.867,386599.528,1112991.693,334477.5265,1269544.096,698536.5172,182118.1745,1375024.746,402523.1741,674539.2507,953386.3912
Kenya,2659329.541,986911.3268,0,926102.3486,1911465.485,2343941.451,2041924.286,1927392.569,1121996.344,612473.5901,1453591.911,2107678.75,1652982.453,1689685.113,1075731.166,938829.8232,1959298.304,1865693.62,1758252.728,2502732.053,2695514.075,2352352.401,2215235.283,1645042.121,1931092.394,2179901.081,1333952.569,1825703.598,1026017.157,1902144.338,1646874.924,1146547.164,2076498.116,1332962.528,1406880.044,1796170.901
Rwanda,1781635.947,152233.384,926102.3486,0,1295918.799,1891651.225,1419234.171,2006670.029,1034857.516,456798.9214,821833.0096,1250502.707,970039.6171,854484.2734,613323.1888,420628.175,1033261.57,950113.9994,848223.8229,1581789.646,1772177.868,1426932.595,1290215.677,747409.9801,1098840.536,1270085.736,407861.6037,1041534.732,206454.2084,1182363.288,722003.4442,229968.5968,1305780.553,543302.1199,593477.1611,921255.9083
Zambia,1123522.806,1145643.25,1911465.485,1295918.799,0,654172.8517,2373286.331,3290220.393,2325477.488,1716022.758,1924377.603,1812762.126,332994.0275,637186.5531,1871946.541,1703002.97,1200474.859,994762.0347,940113.5728,1649831.814,1738374.84,1342409.192,1394888.397,876476.8741,588226.1412,1575008.791,1164677.113,1866153.207,1433433.586,2067765.436,1203242.498,1140237.628,2065789.613,767854.4977,1577967.649,1572772.833
Zimbabwe,1517610.892,1739463.751,2343941.451,1891651.225,654172.8517,0,3027346.643,3898320.901,2925976.252,2273653.89,2570709.765,2451905.539,974455.4722,1290004.662,2490573.468,2309897.58,1830619.931,1630971.929,1586761.206,2220064.634,2274763.943,1909651.515,1996629.779,1529653.13,1205533.021,2194824.869,1810329.541,2519594.415,2050701.796,2721509.475,1856476.363,1764558.688,2714733.678,1395136.962,2227001.525,2224034.881
Central African Republic,2123778.83,1523055.801,2041924.286,1419234.171,2373286.331,3027346.643,0,1475286.95,1090900.032,1448029.673,612838.0844,727869.9342,2064883.021,1738244.864,968592.0383,1135850.026,1284672.079,1442668.269,1456675.618,1327416.272,1488380.543,1477317.695,1280820.841,1498652.207,1866249.497,1054928.912,1262289.436,511941.109,1214242.054,308744.0783,1172513.119,1391856.321,407812.7829,1695992.573,858142.3716,819004.3228
Sudan,3434806.192,2158861.127,1927392.569,2006670.029,3290220.393,3898320.901,1475286.95,0,973526.5856,1662808.661,1477827.347,2136919.592,2958109.375,2746737.277,1419774.928,1589618.549,2530380.208,2610493.84,2568976.228,2754718.887,2933553.587,2833807.113,2630390.744,2543249.021,2956134.105,2434890.184,2162826.478,1806612.727,1856808.447,1667433.723,2281812.771,2150769.383,1850632.647,2522542.9,1807694.278,2065927.823
South Sudan,2596865.659,1187073.891,1121996.344,1034857.516,2325477.488,2925976.252,1090900.032,973526.5856,0,706889.0891,703907.5059,1490602.351,1995170.053,1811416.687,479299.2414,622842.0145,1703772.119,1737775.162,1676067.042,2066363.741,2263442.354,2061086.514,1867116.25,1628253.939,2035619.1,1718250.417,1233251.641,1135361.029,897115.2412,1093811.648,1412284.291,1192080.044,1302597.354,1560207.722,946974.5514,1299828.926
Uganda,2229685.497,587532.3581,612473.5901,456798.9214,1716022.758,2273653.89,1448029.673,1662808.661,706889.0891,0,847144.1167,1504664.011,1401341.835,1311192.013,481378.6994,326457.3449,1433579.608,1381703.919,1287160.558,1941191.543,2138771.763,1828570.293,1670227.485,1195678.736,1555636.164,1605021.617,822907.5857,1213835.378,461328.6779,1291625.81,1112157.329,680180.6006,1464046.028,990042.1512,804580.6639,1203520.53
Bas-Uele,1959876.063,940653.6863,1453591.911,821833.0096,1924377.603,2570709.765,612838.0844,1477827.347,703907.5059,847144.1167,0,789570.1588,1596572.719,1320888.972,383869.7026,526842.3535,1054579.061,1135708.768,1103315.929,1364582.503,1560644.103,1381699.003,1182084.414,1096591.783,1505390.144,1018456.549,760451.2722,438225.1266,615418.6506,453635.556,809624.8731,837214.5676,646211.7712,1184356.563,350210.0934,608799.6813
Equateur,1400164.46,1285068.688,2107678.75,1250502.707,1812762.126,2451905.539,727869.9342,2136919.592,1490602.351,1504664.011,789570.1588,0,1546635.029,1187584.806,1130706.691,1189914.889,625411.0273,820944.6866,875248.341,617928.0568,799435.3187,750777.0487,558593.1964,961913.2546,1248888.94,328416.5781,913258.8092,356192.076,1093494.462,470612.7727,665499.9434,1108235.273,322283.2953,1278961.904,701056.9884,331719.0537
Haut-Katanga,1141244.619,821848.6703,1652982.453,970039.6171,332994.0275,974455.4722,2064883.021,2958109.375,1995170.053,1401341.835,1596572.719,1546635.029,0,362355.2609,1539314.594,1372369.311,963238.5536,754379.3043,675604.0061,1477371.561,1597314.637,1185886.861,1193807.452,586694.3994,437928.6976,1343542.224,836122.0832,1563810.705,1101356.264,1762847.076,906795.4777,807597.7901,1777570.987,435604.2129,1252605.922,1281237.285
Haut-Lomami,973856.4402,733179.285,1689685.113,854484.2734,637186.5531,1290004.662,1738244.864,2746737.277,1811416.687,1311192.013,1320888.972,1187584.806,362355.2609,0,1335930.909,1200132.877,602197.6248,394345.5947,313706.4293,1135369.8,1271184.707,859100.7309,842118.4695,239695.874,245978.6168,982142.1103,583930.1244,1229614.527,923503.5306,1431724.284,566480.1729,640112.1256,1429875.558,357656.7424,970682.8836,935805.776
Haut-Uele,2125235.198,761054.2427,1075731.166,613323.1888,1871946.541,2490573.468,968592.0383,1419774.928,479299.2414,481378.6994,383869.7026,1130706.691,1539314.594,1335930.909,0,203848.6614,1242462.915,1262655.564,1197810.338,1655499.707,1855483.726,1614176.668,1427943.029,1149058.492,1557266.408,1305717.58,755064.5098,798842.3601,440061.7658,837469.1821,940623.2771,731726.6922,1026614.311,1104133.002,492986.8079,881626.5965
Ituri,2045920.932,571752.3554,938829.8232,420628.175,1703002.97,2309897.58,1135850.026,1589618.549,622842.0145,326457.3449,526842.3535,1189914.889,1372369.311,1200132.877,203848.6614,0,1194384.148,1181240.75,1102570.83,1661545.589,1861247.521,1581737.458,1408347.879,1035680.796,1432308.063,1317233.573,637942.1293,888989.745,277276.3218,966113.5836,877141.7205,570619.9305,1137679.629,937373.8284,497920.6023,902673.1137
Kasai,905298.93,990806.9193,1959298.304,1033261.57,1200474.859,1830619.931,1284672.079,2530380.208,1703772.119,1433579.608,1054579.061,625411.0273,963238.5536,602197.6248,1242462.915,1194384.148,0,209218.4857,299034.3689,579974.8193,753807.5167,395645.0821,272641.7403,420735.2279,625343.8428,380349.5219,625614.5064,785167.1304,972626.9666,981031.7766,321606.2562,816864.5675,915465.3302,805867.3712,756801.8901,481604.585
Kasai-Central,865334.5002,880315.4203,1865693.62,950113.9994,994762.0347,1630971.929,1442668.269,2610493.84,1737775.162,1381703.919,1135708.768,820944.6866,754379.3043,394345.5947,1262655.564,1181240.75,209218.4857,0,114193.7445,756530.6312,911063.7285,512376.1531,454300.9614,242869.3377,430824.5241,589491.8095,559178.9148,932698.6315,931276.9498,1134572.149,329492.4785,722001.0872,1093962.434,632661.4094,805305.6488,623996.1369
Kasai-Oriental,946406.0988,771658.5717,1758252.728,848223.8229,940113.5728,1586761.206,1456675.618,2568976.228,1676067.042,1287160.558,1103315.929,875248.341,675604.0061,313706.4293,1197810.338,1102570.83,299034.3689,114193.7445,0,865278.808,1023645.908,626547.5263,560138.9212,129177.8671,412560.7718,674180.9658,469430.9771,944760.3645,843995.8233,1148020.21,297275.0775,618700.6126,1128038.609,519775.3172,761735.6826,641002.4911
Kinshasa,890958.8077,1557785.04,2502732.053,1581789.646,1649831.814,2220064.634,1327416.272,2754718.887,2066363.741,1941191.543,1364582.503,617928.0568,1477371.561,1135369.8,1655499.707,1661545.589,579974.8193,756530.6312,865278.808,0,200203.3718,310688.5026,307553.1273,993007.5552,1067204.361,350100.6032,1178063.964,958243.8054,1485476.598,1088344.115,861735.0159,1378752.141,921640.0445,1382622.824,1170586.364,774248.597
Kongo-Central,854230.1215,1741739.268,2695514.075,1772177.868,1738374.84,2274763.943,1488380.543,2933553.587,2263442.354,2138771.763,1560644.103,799435.3187,1597314.637,1271184.707,1855483.726,1861247.521,753807.5167,911063.7285,1023645.908,200203.3718,0,412683.719,484291.0224,1152772.397,1170953.125,549816.5653,1366251.511,1147631.773,1681691.158,1266302.012,1050349.637,1564591.509,1088487.316,1543408.613,1370770.845,974035.2889
Kwango,651245.0947,1376699.79,2352352.401,1426932.595,1342409.192,1909651.515,1477317.695,2833807.113,2061086.514,1828570.293,1381699.003,750777.0487,1185886.861,859100.7309,1614176.668,1581737.458,395645.0821,512376.1531,626547.5263,310688.5026,412683.719,0,203613.928,755067.3931,764550.9209,422539.812,1020025.887,1032566.211,1367353.897,1200762.656,716455.6569,1207045.188,1073059.084,1143149.731,1121702.609,773890.5485
Kwilu,843014.1301,1257449.642,2215235.283,1290215.677,1394888.397,1996629.779,1280820.841,2630390.744,1867116.25,1670227.485,1182084.414,558593.1964,1193807.452,842118.4695,1427943.029,1408347.879,272641.7403,454300.9614,560138.9212,307553.1273,484291.0224,203613.928,0,686872.4848,806667.4732,232662.3231,883222.9427,829153.2714,1209857.648,999640.4399,568386.047,1080498.528,879838.0295,1075658.982,935059.3238,573363.1239
Lomami,1034665.102,658622.5474,1645042.121,747409.9801,876476.8741,1529653.13,1498652.207,2543249.021,1628253.939,1195678.736,1096591.783,961913.2546,586694.3994,239695.874,1149058.492,1035680.796,420735.2279,242869.3377,129177.8671,993007.5552,1152772.397,755067.3931,686872.4848,0,412938.1824,787314.1593,398207.7791,989943.0474,767243.19,1192030.28,326831.546,517832.1451,1193144.557,390724.4151,747516.514,697784.5681
Lualaba,744593.3756,979140.589,1931092.394,1098840.536,588226.1412,1205533.021,1866249.497,2956134.105,2035619.1,1555636.164,1505390.144,1248888.94,437928.6976,245978.6168,1557266.408,1432308.063,625343.8428,430824.5241,412560.7718,1067204.361,1170953.125,764550.9209,806667.4732,412938.1824,0,991757.4597,802372.2577,1354482.012,1157593.758,1557520.589,708353.3177,880841.7541,1524550.97,598304.7157,1158037.148,1047878.942
Mai-Ndombe,1071864.279,1265148.867,2179901.081,1270085.736,1575008.791,2194824.869,1054928.912,2434890.184,1718250.417,1605021.617,1018456.549,328416.5781,1343542.224,982142.1103,1305717.58,1317233.573,380349.5219,589491.8095,674180.9658,350100.6032,549816.5653,422539.812,232662.3231,787314.1593,991757.4597,0,878740.782,628446.7956,1155586.889,783394.0432,570961.6775,1083163.563,650662.3292,1155967.278,823085.2445,424220.929
Maniema,1415837.069,386599.528,1333952.569,407861.6037,1164677.113,1810329.541,1262289.436,2162826.478,1233251.641,822907.5857,760451.2722,913258.8092,836122.0832,583930.1244,755064.5098,637942.1293,625614.5064,559178.9148,469430.9771,1178063.964,1366251.511,1020025.887,883222.9427,398207.7791,802372.2577,878740.782,0,794428.7464,374576.3222,976604.7433,316342.2748,204495.5993,1044488.38,434792.5384,419321.4666,584735.7278
Mongala,1659025.825,1112991.693,1825703.598,1041534.732,1866153.207,2519594.415,511941.109,1806612.727,1135361.029,1213835.378,438225.1266,356192.076,1563810.705,1229614.527,798842.3601,888989.745,785167.1304,932698.6315,944760.3645,958243.8054,1147631.773,1032566.211,829153.2714,989943.0474,1354482.012,628446.7956,794428.7464,0,854854.5674,203264.6674,663137.052,955832.1168,264286.562,1217344.358,448712.4276,308892.5773
Nord-Kivu,1790396.575,334477.5265,1026017.157,206454.2084,1433433.586,2050701.796,1214242.054,1856808.447,897115.2412,461328.6779,615418.6506,1093494.462,1101356.264,923503.5306,440061.7658,277276.3218,972626.9666,931276.9498,843995.8233,1485476.598,1681691.158,1367353.897,1209857.648,767243.19,1157593.758,1155586.889,374576.3222,854854.5674,0,984540.0643,651067.5873,295090.7535,1118584.834,665758.2947,407460.2289,773164.0972
Nord-Ubangi,1838875.057,1269544.096,1902144.338,1182363.288,2067765.436,2721509.475,308744.0783,1667433.723,1093811.648,1291625.81,453635.556,470612.7727,1762847.076,1431724.284,837469.1821,966113.5836,981031.7766,1134572.149,1148020.21,1088344.115,1266302.012,1200762.656,999640.4399,1192030.28,1557520.589,783394.0432,976604.7433,203264.6674,984540.0643,0,865406.8739,1123531.406,209136.03,1406071.52,595005.2493,510631.1312
Sankuru,1185002.936,698536.5172,1646874.924,722003.4442,1203242.498,1856476.363,1172513.119,2281812.771,1412284.291,1112157.329,809624.8731,665499.9434,906795.4777,566480.1729,940623.2771,877141.7205,321606.2562,329492.4785,297275.0775,861735.0159,1050349.637,716455.6569,568386.047,326831.546,708353.3177,570961.6775,316342.2748,663137.052,651067.5873,865406.8739,0,517916.8002,871083.5783,614282.5999,475813.2059,374699.3733
Sud-Kivu,1552403.386,182118.1745,1146547.164,229968.5968,1140237.628,1764558.688,1391856.321,2150769.383,1192080.044,680180.6006,837214.5676,1108235.273,807597.7901,640112.1256,731726.6922,570619.9305,816864.5675,722001.0872,618700.6126,1378752.141,1564591.509,1207045.188,1080498.528,517832.1451,880841.7541,1083163.563,204495.5993,955832.1168,295090.7535,1123531.406,517916.8002,0,1214412.742,372537.5018,533883.2091,777095.4822
Sud-Ubangi,1722183.726,1375024.746,2076498.116,1305780.553,2065789.613,2714733.678,407812.7829,1850632.647,1302597.354,1464046.028,646211.7712,322283.2953,1777570.987,1429875.558,1026614.311,1137679.629,915465.3302,1093962.434,1128038.609,921640.0445,1088487.316,1073059.084,879838.0295,1193144.557,1524550.97,650662.3292,1044488.38,264286.562,1118584.834,209136.03,871083.5783,1214412.742,0,1456561.469,712961.5315,496399.809
Tanganyika,1331163.33,402523.1741,1332962.528,543302.1199,767854.4977,1395136.962,1695992.573,2522542.9,1560207.722,990042.1512,1184356.563,1278961.904,435604.2129,357656.7424,1104133.002,937373.8284,805867.3712,632661.4094,519775.3172,1382622.824,1543408.613,1143149.731,1075658.982,390724.4151,598304.7157,1155967.278,434792.5384,1217344.358,665758.2947,1406071.52,614282.5999,372537.5018,1456561.469,0,852024.0742,971055.7983
Tshopo,1653435.419,674539.2507,1406880.044,593477.1611,1577967.649,2227001.525,858142.3716,1807694.278,946974.5514,804580.6639,350210.0934,701056.9884,1252605.922,970682.8836,492986.8079,497920.6023,756801.8901,805305.6488,761735.6826,1170586.364,1370770.845,1121702.609,935059.3238,747516.514,1158037.148,823085.2445,419321.4666,448712.4276,407460.2289,595005.2493,475813.2059,533883.2091,712961.5315,852024.0742,0,404869.0095
Tshuapa,1373380.924,953386.3912,1796170.901,921255.9083,1572772.833,2224034.881,819004.3228,2065927.823,1299828.926,1203520.53,608799.6813,331719.0537,1281237.285,935805.776,881626.5965,902673.1137,481604.585,623996.1369,641002.4911,774248.597,974035.2889,773890.5485,573363.1239,697784.5681,1047878.942,424220.929,584735.7278,308892.5773,773164.0972,510631.1312,374699.3733,777095.4822,496399.809,971055.7983,404869.0095,0