"","Angola","Burundi","Kenya","Rwanda","Zambia","Zimbabwe","CAR","Sudan","SouthSudan","Uganda","Bas_Uele","Equateur","Haut_Katanga","Haut_Lomami","Haut_Uele","Ituri","Kasai","Kasai_Central","Kasai_Oriental","Kinshasa","Kongo_Central","Kwango","Kwilu","Lomami","Lualaba","Mai_Ndombe","Maniema","Mongala","Nord_Kivu","Nord_Ubangi","Sankuru","Sud_Kivu","Sud_Ubangi","Tanganyika","Tshopo","Tshuapa"
"Angola",0,0,0,0,1.25845574080157e-259,2.58367339311566e-284,0,0,0,0,0,3.35767897291133e-304,7.58170784854017e-219,4.68672864524659e-195,0,0,7.08985216719645e-196,4.36467240068345e-189,9.77699284996166e-160,6.32380082066451e-212,9.67798001357042e-194,1.70478394413622e-118,5.78345824492909e-180,6.15000055368637e-216,1.06162256779298e-156,5.3124618162081e-241,8.84621079625728e-190,1.48329664584925e-265,1.07880737388935e-221,7.17647192885502e-293,1.35153289117327e-151,1.37773301583559e-230,1.02212437000002e-266,1.0679710413398e-255,7.67218866238571e-209,1.00324876734115e-227
"Burundi",0,0,7.76016669334568e-162,1.29368756165086e-29,3.03247209373495e-234,6.63537473560995e-288,9.81211491279678e-263,0,1.85301733622245e-198,2.24634682228077e-89,2.76926969192359e-166,2.60743426991828e-247,1.96100664081236e-140,7.65708429172269e-131,2.33739446454613e-149,2.71942729574532e-117,1.56860780864676e-189,2.68333325691459e-170,5.4683647558593e-116,0,0,1.60078137744553e-218,3.67804691042423e-236,7.0959509680893e-123,1.49625122867003e-181,3.28014503911821e-251,7.13236466919539e-49,4.50784029180453e-159,5.44835446902307e-40,3.02222621017147e-180,6.56404478866036e-81,1.51254569714963e-27,2.31141433366581e-189,2.67646782242593e-71,6.97784702356381e-78,2.9559618798053e-141
"Kenya",0,7.76016669334568e-162,0,2.31202097878625e-138,0,0,3.05797700709104e-296,1.5029292857537e-276,1.21817151367785e-158,7.30297597440932e-79,1.95929382070819e-215,0,1.23531658298358e-235,6.59568441791003e-251,3.49384612398635e-177,5.79110220446994e-161,0,2.008399448587e-301,1.33186665209221e-219,0,0,0,0,6.70853256047772e-255,2.0351220106376e-299,0,2.8189478043816e-134,3.28564890597631e-218,7.09181365679689e-97,2.21245688725609e-226,1.20589289698921e-156,1.4455980724261e-128,9.76527213766382e-240,1.41057420816997e-191,9.89853231403655e-134,9.56770072805021e-222
"Rwanda",0,1.29368756165086e-29,2.31202097878625e-138,0,1.7350141924541e-240,2.62195091025073e-284,8.78248747242225e-223,0,9.31505172087138e-158,4.81868310710769e-64,1.42107516765958e-132,7.05231893330803e-219,2.90944400435377e-150,2.91421340833704e-138,3.74463241126647e-110,2.01877106399558e-79,1.2589590888061e-179,6.07608894767398e-167,9.15400944357616e-116,1.80770683994629e-300,0,7.82483023648664e-206,3.16349763047823e-220,1.67152600342495e-126,6.32059321055749e-185,2.93790443807045e-229,5.51157986743723e-47,9.14367106311292e-136,3.37391968369199e-24,4.85232747203611e-153,3.53495681092759e-76,5.49760231667727e-31,7.87835865255754e-164,1.8558961627648e-86,4.945791963111e-63,1.99388042024124e-124
"Zambia",1.25845574080157e-259,3.03247209373495e-234,0,1.7350141924541e-240,0,2.25646015514137e-116,0,0,0,4.31652354906025e-269,0,0,5.52904480917254e-62,1.97940372902193e-120,0,0,9.20452022772108e-242,9.91734566447663e-203,2.13341314248847e-148,0,0,4.49282045924817e-225,2.77583388226017e-276,1.75291791097871e-171,1.92337018351959e-116,0,1.02726316586048e-146,1.02384742061465e-278,9.23718089842026e-167,2.6390316403953e-307,6.07990943146269e-144,2.00988433332044e-159,3.00214513818109e-298,1.34116805401578e-139,1.50697682885977e-186,3.14589663233644e-243
"Zimbabwe",2.58367339311566e-284,6.63537473560995e-288,0,2.62195091025073e-284,2.25646015514137e-116,0,0,0,0,4.0190582959885e-289,0,0,9.32214214300651e-143,8.49824263067626e-196,0,0,1.9196115380655e-298,1.06906558560574e-268,4.37257227472308e-202,0,0,2.32328467519966e-259,0,1.51572850142679e-241,1.56005602059449e-191,0,5.05711956575761e-184,5.0016279945215e-305,5.67777604549889e-193,0,3.18391640905918e-179,3.40667195342861e-199,0,6.28550131604891e-204,4.35573664393077e-213,1.50241009107597e-278
"CAR",0,9.81211491279678e-263,3.05797700709104e-296,8.78248747242225e-223,0,0,0,4.8624907558746e-225,1.96224780274449e-163,8.53174861222035e-193,4.32205205745415e-98,1.10866831746681e-126,0,2.27371319013898e-273,2.72031494511493e-169,1.48279132977909e-205,6.39899461469121e-219,1.0604814138496e-247,2.74796751353071e-193,1.50203795702328e-248,4.00823819642038e-265,1.60539078386797e-209,4.358041257178e-215,2.59058002291287e-246,1.03461880713714e-306,7.20849398389188e-188,1.0577537843946e-134,9.92073500925733e-68,1.61982102973967e-120,2.52618731250437e-42,3.07151214267093e-119,2.62977098964264e-164,3.87782955065151e-53,5.1525475650057e-257,6.40553973377264e-88,2.67139367228628e-109
"Sudan",0,0,1.5029292857537e-276,0,0,0,4.8624907558746e-225,0,1.62903352422936e-144,2.39355267697464e-218,2.85182475139607e-229,0,0,0,8.97265064680093e-244,4.80879992834013e-283,0,0,0,0,0,0,0,0,0,0,2.90109133570731e-225,4.35875713681365e-226,4.80552958024763e-180,2.97239601933993e-208,1.45569508808483e-225,9.21386013698947e-249,3.95228657308329e-224,0,1.26072963734019e-178,2.16632965859615e-266
"SouthSudan",0,1.85301733622245e-198,1.21817151367785e-158,9.31505172087138e-158,0,0,1.96224780274449e-163,1.62903352422936e-144,0,1.46997725969843e-92,2.1336933667205e-108,3.04020143918229e-247,2.69759620958792e-290,5.9438292073077e-275,1.49077530662636e-82,2.53402879201794e-110,2.46260298158422e-279,1.81609011903692e-287,2.62849486327285e-214,0,0,5.02016395631366e-281,2.54406348881947e-301,3.76713396324581e-258,0,1.67632341371077e-293,2.93497751646811e-127,2.3916731291133e-140,4.12160866937122e-87,6.81494031210918e-135,5.74125906578371e-138,1.55542068009374e-136,2.34179259108486e-155,1.13527029634225e-228,2.20748980519584e-93,2.83849059189249e-165
"Uganda",0,2.24634682228077e-89,7.30297597440932e-79,4.81868310710769e-64,4.31652354906025e-269,4.0190582959885e-289,8.53174861222035e-193,2.39355267697464e-218,1.46997725969843e-92,0,4.65698249137276e-116,8.24710221809008e-223,5.65245768897817e-183,1.43122784230679e-178,2.98922064122633e-74,2.82671087017091e-53,2.46464722896819e-210,1.06436859941435e-204,9.73647287204272e-148,0,0,6.1504325220902e-223,6.04667098660647e-241,4.12574326908458e-170,6.64684490117554e-221,6.05558356218601e-245,2.40324192062098e-77,5.94834768399755e-134,3.90030414327284e-42,8.75960351098951e-142,4.5750106677831e-98,1.90800637809215e-71,1.18956851495181e-155,4.0358506250303e-131,1.02650363606473e-71,3.9751149853357e-137
"Bas_Uele",0,2.76926969192359e-166,1.95929382070819e-215,1.42107516765958e-132,0,0,4.32205205745415e-98,2.85182475139607e-229,2.1336933667205e-108,4.65698249137276e-116,0,1.82317198219557e-139,2.39923090182939e-245,4.55135506951516e-212,3.43415750327256e-70,1.04549564755324e-98,2.33183819284203e-183,5.06967208338818e-199,1.1116892650033e-149,8.68462714570983e-260,1.34918580082873e-282,1.6366113672844e-199,3.82240268297776e-202,3.49140640089756e-184,2.83347308043484e-252,1.42066111363858e-184,3.95104383775839e-84,1.65746151384346e-59,4.13612199007942e-64,2.97946996162863e-61,5.68893287271301e-85,4.02001765789837e-102,3.58678461734206e-83,9.10305605555867e-184,7.02458099705946e-39,1.20368025910845e-83
"Equateur",3.35767897291133e-304,2.60743426991828e-247,0,7.05231893330803e-219,0,0,1.10866831746681e-126,0,3.04020143918229e-247,8.24710221809008e-223,1.82317198219557e-139,0,3.12029728873758e-260,5.67660765811477e-209,2.5127916011907e-219,1.66631023322609e-239,2.74675150382295e-120,2.59457979263889e-158,1.55728516905464e-130,1.54042895481423e-130,4.82114958631059e-160,4.20801273290816e-120,3.11171586149449e-106,3.68747161830307e-177,1.26136968982606e-229,2.58231187872289e-67,1.99988541112695e-109,1.91661636015409e-53,5.70495874589535e-121,4.49683083910784e-69,6.15386068908701e-77,2.70596129704031e-146,2.69455144577722e-47,1.05266528748209e-216,1.97576537395991e-80,1.40382739979872e-51
"Haut_Katanga",7.58170784854017e-219,1.96100664081236e-140,1.23531658298358e-235,2.90944400435377e-150,5.52904480917254e-62,9.32214214300651e-143,0,0,2.69759620958792e-290,5.65245768897817e-183,2.39923090182939e-245,3.12029728873758e-260,0,2.05268381733454e-58,8.50292621811893e-262,9.68739145834328e-243,1.09768745987405e-161,1.73983404290444e-128,1.33087937448382e-89,9.67795702956135e-271,1.31605917506946e-278,1.76508860703333e-165,1.05689284476468e-196,1.78243033336131e-96,5.16723862053593e-73,1.26353981225544e-233,7.56721303279525e-89,1.31969787140505e-194,1.48476286435123e-107,4.30389674097148e-218,2.45139374256087e-91,3.66629207692661e-95,1.23339717671465e-213,1.01460167529284e-67,5.44972845371027e-124,2.30918561117984e-165
"Haut_Lomami",4.68672864524659e-195,7.65708429172269e-131,6.59568441791003e-251,2.91421340833704e-138,1.97940372902193e-120,8.49824263067626e-196,2.27371319013898e-273,0,5.9438292073077e-275,1.43122784230679e-178,4.55135506951516e-212,5.67660765811477e-209,2.05268381733454e-58,0,3.46058400033398e-237,1.34336331604742e-221,1.62818736712501e-106,1.68743586723945e-71,4.75747036770543e-45,1.44141644388692e-217,1.03011167746723e-231,8.91682789574333e-126,1.61081874874769e-145,5.91823977097646e-43,4.23339155367516e-44,8.00226413476978e-179,8.51832528412803e-66,2.8995569402456e-160,1.54720338722286e-94,2.72738771321823e-185,6.62200999617149e-61,2.41431499036989e-79,8.07158980391756e-180,1.48533492666285e-58,5.90925307169209e-101,6.84413652974287e-127
"Haut_Uele",0,2.33739446454613e-149,3.49384612398635e-177,3.74463241126647e-110,0,0,2.72031494511493e-169,8.97265064680093e-244,1.49077530662636e-82,2.98922064122633e-74,3.43415750327256e-70,2.5127916011907e-219,8.50292621811893e-262,3.46058400033398e-237,0,3.71058358763491e-44,2.68688463333731e-238,2.42568370657507e-244,2.43386456640964e-179,0,0,3.17510699009546e-257,2.20063994865964e-269,2.95950512659058e-213,1.35712839649984e-288,9.44815201072343e-261,4.0200424929312e-92,5.18586170550753e-116,1.26637025980459e-51,5.24392176323542e-121,3.49599205828393e-108,5.38897136918968e-99,2.859175049556e-143,1.23920153565062e-189,2.38003840322434e-58,1.02097727296421e-131
"Ituri",0,2.71942729574532e-117,5.79110220446994e-161,2.01877106399558e-79,0,0,1.48279132977909e-205,4.80879992834013e-283,2.53402879201794e-110,2.82671087017091e-53,1.04549564755324e-98,1.66631023322609e-239,9.68739145834328e-243,1.34336331604742e-221,3.71058358763491e-44,0,5.22121356995821e-238,1.37805633307313e-237,1.1750295616535e-171,0,0,8.04136217045341e-262,5.80250156065307e-276,6.53458678014071e-200,6.3114365043114e-276,3.79056743384122e-273,2.30868920222551e-81,1.6837976464961e-133,3.36541315993284e-35,3.14813723914488e-144,6.10949432855573e-105,5.5843166226535e-81,2.41814877688001e-164,9.53319912095901e-168,4.96932461192474e-61,7.36877161194387e-140
"Kasai",7.08985216719645e-196,1.56860780864676e-189,0,1.2589590888061e-179,9.20452022772108e-242,1.9196115380655e-298,6.39899461469121e-219,0,2.46260298158422e-279,2.46464722896819e-210,2.33183819284203e-183,2.74675150382295e-120,1.09768745987405e-161,1.62818736712501e-106,2.68688463333731e-238,5.22121356995821e-238,0,2.30087833461895e-42,2.70042759441874e-46,1.61071793713518e-121,1.3138298485059e-149,3.31327209193352e-64,5.26011295776795e-53,1.50815883832976e-78,1.85744468730183e-115,1.06145229914584e-76,1.62536966586752e-75,8.10200764128861e-112,5.28593426213404e-107,3.22473842831309e-138,6.2957904016449e-39,7.58171369534299e-108,1.24987614531128e-125,1.05890332385936e-136,1.12732530108991e-85,2.35471781513553e-72
"Kasai_Central",4.36467240068345e-189,2.68333325691459e-170,2.008399448587e-301,6.07608894767398e-167,9.91734566447663e-203,1.06906558560574e-268,1.0604814138496e-247,0,1.81609011903692e-287,1.06436859941435e-204,5.06967208338818e-199,2.59457979263889e-158,1.73983404290444e-128,1.68743586723945e-71,2.42568370657507e-244,1.37805633307313e-237,2.30087833461895e-42,0,7.77254792180773e-20,5.81292894416125e-159,8.65108076702948e-182,6.28359211229757e-83,6.1912474608822e-87,4.06771553038681e-47,2.84988318861773e-81,3.74252264686327e-118,1.59856141992405e-68,2.95341774434434e-133,1.51927709539655e-103,1.1689999726598e-160,4.08907831496497e-40,1.19631323218759e-96,1.10095037706852e-150,3.65454839317369e-109,1.0306824289955e-91,2.27920341572263e-93
"Kasai_Oriental",9.77699284996166e-160,5.4683647558593e-116,1.33186665209221e-219,9.15400944357616e-116,2.13341314248847e-148,4.37257227472308e-202,2.74796751353071e-193,0,2.62849486327285e-214,9.73647287204272e-148,1.1116892650033e-149,1.55728516905464e-130,1.33087937448382e-89,4.75747036770543e-45,2.43386456640964e-179,1.1750295616535e-171,2.70042759441874e-46,7.77254792180773e-20,0,2.26707941263376e-140,1.06346769484611e-157,2.8831156645092e-78,1.08219270830193e-82,3.28831895054485e-21,8.98340081068649e-61,1.99230910517332e-104,9.95670513736832e-46,8.05201256538647e-105,1.76394853190049e-73,4.62335247217123e-126,4.15980563570466e-29,3.77177167263808e-65,1.80711088268492e-120,1.5146681994569e-70,6.73996684614769e-68,1.06943236614923e-74
"Kinshasa",6.32380082066451e-212,0,0,1.80770683994629e-300,0,0,1.50203795702328e-248,0,0,0,8.68462714570983e-260,1.54042895481423e-130,9.67795702956135e-271,1.44141644388692e-217,0,0,1.61071793713518e-121,5.81292894416125e-159,2.26707941263376e-140,0,4.95088658832537e-46,6.13308841231674e-56,4.93168650398474e-65,6.94673437220004e-199,4.82915711279838e-214,1.13616415766074e-77,3.64388677329283e-152,8.07322000596699e-149,4.03690830697274e-177,6.90589864565506e-168,6.89505590718708e-107,6.99034511517543e-197,8.83893402976779e-139,1.4805303514234e-254,5.17982702251184e-143,6.5412589365562e-125
"Kongo_Central",9.67798001357042e-194,0,0,0,0,0,4.00823819642038e-265,0,0,0,1.34918580082873e-282,4.82114958631059e-160,1.31605917506946e-278,1.03011167746723e-231,0,0,1.3138298485059e-149,8.65108076702948e-182,1.06346769484611e-157,4.95088658832537e-46,0,6.92070570023106e-70,6.97904351039024e-96,1.74518554027301e-219,1.85218719246405e-223,1.56667955337183e-114,1.34703477815411e-167,3.98445609813006e-169,1.34892831421599e-190,1.51632686479421e-185,2.16337945557247e-123,2.15774107626279e-212,1.50741290203182e-155,2.70450876969003e-270,5.55971348074104e-159,8.19694487281552e-149
"Kwango",1.70478394413622e-118,1.60078137744553e-218,0,7.82483023648664e-206,4.49282045924817e-225,2.32328467519966e-259,1.60539078386797e-209,0,5.02016395631366e-281,6.1504325220902e-223,1.6366113672844e-199,4.20801273290816e-120,1.76508860703333e-165,8.91682789574333e-126,3.17510699009546e-257,8.04136217045341e-262,3.31327209193352e-64,6.28359211229757e-83,2.8831156645092e-78,6.13308841231674e-56,6.92070570023106e-70,0,3.75814358290089e-34,1.20962216350905e-115,2.39223368900699e-117,4.09240716747744e-71,5.92018552026754e-101,6.3923143837595e-122,2.00745675387866e-124,1.24732295174822e-140,1.17122659709602e-68,1.31041779228414e-131,1.41683160411071e-122,1.50572209011532e-160,1.14981813972431e-104,2.4866003856043e-95
"Kwilu",5.78345824492909e-180,3.67804691042423e-236,0,3.16349763047823e-220,2.77583388226017e-276,0,4.358041257178e-215,0,2.54406348881947e-301,6.04667098660647e-241,3.82240268297776e-202,3.11171586149449e-106,1.05689284476468e-196,1.61081874874769e-145,2.20063994865964e-269,5.80250156065307e-276,5.26011295776795e-53,6.1912474608822e-87,1.08219270830193e-82,4.93168650398474e-65,6.97904351039024e-96,3.75814358290089e-34,0,2.31870180018584e-124,7.51962093456709e-146,1.64179439948561e-47,1.92764951581812e-103,3.61770909250602e-116,3.26171731245485e-130,9.76288970932315e-139,9.1528954701628e-65,2.6299707238951e-139,3.62375125335596e-119,1.754269175332e-178,2.10940065942092e-103,3.68054162902163e-84
"Lomami",6.15000055368637e-216,7.0959509680893e-123,6.70853256047772e-255,1.67152600342495e-126,1.75291791097871e-171,1.51572850142679e-241,2.59058002291287e-246,0,3.76713396324581e-258,4.12574326908458e-170,3.49140640089756e-184,3.68747161830307e-177,1.78243033336131e-96,5.91823977097646e-43,2.95950512659058e-213,6.53458678014071e-200,1.50815883832976e-78,4.06771553038681e-47,3.28831895054485e-21,6.94673437220004e-199,1.74518554027301e-219,1.20962216350905e-115,2.31870180018584e-124,0,7.88826824260334e-75,3.82850890396323e-150,5.30346019868023e-48,2.58775389777202e-135,1.63397718565174e-82,1.5227031454326e-161,2.71618718720457e-38,1.26484783626648e-67,3.94909836092373e-157,3.41094214748774e-66,6.11820436727987e-82,1.18543758170362e-99
"Lualaba",1.06162256779298e-156,1.49625122867003e-181,2.0351220106376e-299,6.32059321055749e-185,1.92337018351959e-116,1.56005602059449e-191,1.03461880713714e-306,0,0,6.64684490117554e-221,2.83347308043484e-252,1.26136968982606e-229,5.16723862053593e-73,4.23339155367516e-44,1.35712839649984e-288,6.3114365043114e-276,1.85744468730183e-115,2.84988318861773e-81,8.98340081068649e-61,4.82915711279838e-214,1.85218719246405e-223,2.39223368900699e-117,7.51962093456709e-146,7.88826824260334e-75,0,9.16066055286427e-189,8.01725373933027e-93,4.17897441694768e-184,9.94877073695579e-123,2.34392637904313e-210,1.94791863427724e-78,1.85711543440986e-112,3.79872130161975e-200,1.91455547621202e-99,5.13092272683334e-125,5.5901145532039e-148
"Mai_Ndombe",5.3124618162081e-241,3.28014503911821e-251,0,2.93790443807045e-229,0,0,7.20849398389188e-188,0,1.67632341371077e-293,6.05558356218601e-245,1.42066111363858e-184,2.58231187872289e-67,1.26353981225544e-233,8.00226413476978e-179,9.44815201072343e-261,3.79056743384122e-273,1.06145229914584e-76,3.74252264686327e-118,1.99230910517332e-104,1.13616415766074e-77,1.56667955337183e-114,4.09240716747744e-71,1.64179439948561e-47,3.82850890396323e-150,9.16066055286427e-189,0,1.10022193801462e-108,5.68345749235621e-94,1.47054333753282e-131,9.69926928838909e-116,1.38607226675572e-68,1.60253751720158e-147,3.9061858765796e-94,2.116114377441e-202,1.36908530639397e-96,9.01390949773282e-67
"Maniema",8.84621079625728e-190,7.13236466919539e-49,2.8189478043816e-134,5.51157986743723e-47,1.02726316586048e-146,5.05711956575761e-184,1.0577537843946e-134,2.90109133570731e-225,2.93497751646811e-127,2.40324192062098e-77,3.95104383775839e-84,1.99988541112695e-109,7.56721303279525e-89,8.51832528412803e-66,4.0200424929312e-92,2.30868920222551e-81,1.62536966586752e-75,1.59856141992405e-68,9.95670513736832e-46,3.64388677329283e-152,1.34703477815411e-167,5.92018552026754e-101,1.92764951581812e-103,5.30346019868023e-48,8.01725373933027e-93,1.10022193801462e-108,0,2.84800944016899e-71,1.67140177304023e-28,2.17352368455526e-86,3.32916762579417e-25,4.41687436876907e-20,1.45408421819245e-89,3.52654149218859e-48,6.12598820827167e-32,3.55114515288755e-55
"Mongala",1.48329664584925e-265,4.50784029180453e-159,3.28564890597631e-218,9.14367106311292e-136,1.02384742061465e-278,5.0016279945215e-305,9.92073500925733e-68,4.35875713681365e-226,2.3916731291133e-140,5.94834768399755e-134,1.65746151384346e-59,1.91661636015409e-53,1.31969787140505e-194,2.8995569402456e-160,5.18586170550753e-116,1.6837976464961e-133,8.10200764128861e-112,2.95341774434434e-133,8.05201256538647e-105,8.07322000596699e-149,3.98445609813006e-169,6.3923143837595e-122,3.61770909250602e-116,2.58775389777202e-135,4.17897441694768e-184,5.68345749235621e-94,2.84800944016899e-71,0,4.41001381026534e-71,1.17920249555872e-24,2.59852098867201e-57,5.11682610561984e-94,4.6258368829022e-30,1.77022876143072e-152,6.59927096579444e-40,1.64923168219382e-36
"Nord_Kivu",1.07880737388935e-221,5.44835446902307e-40,7.09181365679689e-97,3.37391968369199e-24,9.23718089842026e-167,5.67777604549889e-193,1.61982102973967e-120,4.80552958024763e-180,4.12160866937122e-87,3.90030414327284e-42,4.13612199007942e-64,5.70495874589535e-121,1.48476286435123e-107,1.54720338722286e-94,1.26637025980459e-51,3.36541315993284e-35,5.28593426213404e-107,1.51927709539655e-103,1.76394853190049e-73,4.03690830697274e-177,1.34892831421599e-190,2.00745675387866e-124,3.26171731245485e-130,1.63397718565174e-82,9.94877073695579e-123,1.47054333753282e-131,1.67140177304023e-28,4.41001381026534e-71,0,5.65639367179261e-81,2.21336408449534e-44,1.75479163686325e-25,6.45586954337833e-89,1.16385698355807e-66,3.64139003022794e-29,1.08323745970492e-66
"Nord_Ubangi",7.17647192885502e-293,3.02222621017147e-180,2.21245688725609e-226,4.85232747203611e-153,2.6390316403953e-307,0,2.52618731250437e-42,2.97239601933993e-208,6.81494031210918e-135,8.75960351098951e-142,2.97946996162863e-61,4.49683083910784e-69,4.30389674097148e-218,2.72738771321823e-185,5.24392176323542e-121,3.14813723914488e-144,3.22473842831309e-138,1.1689999726598e-160,4.62335247217123e-126,6.90589864565506e-168,1.51632686479421e-185,1.24732295174822e-140,9.76288970932315e-139,1.5227031454326e-161,2.34392637904313e-210,9.69926928838909e-116,2.17352368455526e-86,1.17920249555872e-24,5.65639367179261e-81,0,2.63664470522427e-73,2.01159438914064e-109,1.45573021958703e-24,7.07324616413158e-175,2.01127491030543e-51,1.65715520541887e-57
"Sankuru",1.35153289117327e-151,6.56404478866036e-81,1.20589289698921e-156,3.53495681092759e-76,6.07990943146269e-144,3.18391640905918e-179,3.07151214267093e-119,1.45569508808483e-225,5.74125906578371e-138,4.5750106677831e-98,5.68893287271301e-85,6.15386068908701e-77,2.45139374256087e-91,6.62200999617149e-61,3.49599205828393e-108,6.10949432855573e-105,6.2957904016449e-39,4.08907831496497e-40,4.15980563570466e-29,6.89505590718708e-107,2.16337945557247e-123,1.17122659709602e-68,9.1528954701628e-65,2.71618718720457e-38,1.94791863427724e-78,1.38607226675572e-68,3.32916762579417e-25,2.59852098867201e-57,2.21336408449534e-44,2.63664470522427e-73,0,1.45170024272765e-42,9.62826824250608e-72,3.21018876087652e-63,4.37232282119525e-34,3.7578156737673e-35
"Sud_Kivu",1.37773301583559e-230,1.51254569714963e-27,1.4455980724261e-128,5.49760231667727e-31,2.00988433332044e-159,3.40667195342861e-199,2.62977098964264e-164,9.21386013698947e-249,1.55542068009374e-136,1.90800637809215e-71,4.02001765789837e-102,2.70596129704031e-146,3.66629207692661e-95,2.41431499036989e-79,5.38897136918968e-99,5.5843166226535e-81,7.58171369534299e-108,1.19631323218759e-96,3.77177167263808e-65,6.99034511517543e-197,2.15774107626279e-212,1.31041779228414e-131,2.6299707238951e-139,1.26484783626648e-67,1.85711543440986e-112,1.60253751720158e-147,4.41687436876907e-20,5.11682610561984e-94,1.75479163686325e-25,2.01159438914064e-109,1.45170024272765e-42,0,1.1927606024801e-114,4.11170791280995e-46,1.5200045132818e-43,1.25838897004107e-79
"Sud_Ubangi",1.02212437000002e-266,2.31141433366581e-189,9.76527213766382e-240,7.87835865255754e-164,3.00214513818109e-298,0,3.87782955065151e-53,3.95228657308329e-224,2.34179259108486e-155,1.18956851495181e-155,3.58678461734206e-83,2.69455144577722e-47,1.23339717671465e-213,8.07158980391756e-180,2.859175049556e-143,2.41814877688001e-164,1.24987614531128e-125,1.10095037706852e-150,1.80711088268492e-120,8.83893402976779e-139,1.50741290203182e-155,1.41683160411071e-122,3.62375125335596e-119,3.94909836092373e-157,3.79872130161975e-200,3.9061858765796e-94,1.45408421819245e-89,4.6258368829022e-30,6.45586954337833e-89,1.45573021958703e-24,9.62826824250608e-72,1.1927606024801e-114,0,6.85750809764947e-176,3.60737660134193e-59,1.6295580870338e-54
"Tanganyika",1.0679710413398e-255,2.67646782242593e-71,1.41057420816997e-191,1.8558961627648e-86,1.34116805401578e-139,6.28550131604891e-204,5.1525475650057e-257,0,1.13527029634225e-228,4.0358506250303e-131,9.10305605555867e-184,1.05266528748209e-216,1.01460167529284e-67,1.48533492666285e-58,1.23920153565062e-189,9.53319912095901e-168,1.05890332385936e-136,3.65454839317369e-109,1.5146681994569e-70,1.4805303514234e-254,2.70450876969003e-270,1.50572209011532e-160,1.754269175332e-178,3.41094214748774e-66,1.91455547621202e-99,2.116114377441e-202,3.52654149218859e-48,1.77022876143072e-152,1.16385698355807e-66,7.07324616413158e-175,3.21018876087652e-63,4.11170791280995e-46,6.85750809764947e-176,0,1.09673545413628e-85,2.19252341587836e-126
"Tshopo",7.67218866238571e-209,6.97784702356381e-78,9.89853231403655e-134,4.945791963111e-63,1.50697682885977e-186,4.35573664393077e-213,6.40553973377264e-88,1.26072963734019e-178,2.20748980519584e-93,1.02650363606473e-71,7.02458099705946e-39,1.97576537395991e-80,5.44972845371027e-124,5.90925307169209e-101,2.38003840322434e-58,4.96932461192474e-61,1.12732530108991e-85,1.0306824289955e-91,6.73996684614769e-68,5.17982702251184e-143,5.55971348074104e-159,1.14981813972431e-104,2.10940065942092e-103,6.11820436727987e-82,5.13092272683334e-125,1.36908530639397e-96,6.12598820827167e-32,6.59927096579444e-40,3.64139003022794e-29,2.01127491030543e-51,4.37232282119525e-34,1.5200045132818e-43,3.60737660134193e-59,1.09673545413628e-85,0,1.76623917839452e-37
"Tshuapa",1.00324876734115e-227,2.9559618798053e-141,9.56770072805021e-222,1.99388042024124e-124,3.14589663233644e-243,1.50241009107597e-278,2.67139367228628e-109,2.16632965859615e-266,2.83849059189249e-165,3.9751149853357e-137,1.20368025910845e-83,1.40382739979872e-51,2.30918561117984e-165,6.84413652974287e-127,1.02097727296421e-131,7.36877161194387e-140,2.35471781513553e-72,2.27920341572263e-93,1.06943236614923e-74,6.5412589365562e-125,8.19694487281552e-149,2.4866003856043e-95,3.68054162902163e-84,1.18543758170362e-99,5.5901145532039e-148,9.01390949773282e-67,3.55114515288755e-55,1.64923168219382e-36,1.08323745970492e-66,1.65715520541887e-57,3.7578156737673e-35,1.25838897004107e-79,1.6295580870338e-54,2.19252341587836e-126,1.76623917839452e-37,0
